"time" "coef" "e.time" "e.coef"
2174 0.12 1468.01 0.02
2175 0.08 1910.93 0.0115148200442968
2176 0.05 1777.595 0.01
2179 0.15 1607.67 0.06
2183 0.06 1768.2 0.01
2184 0.17 1627.345 0.04
2185 0.11 1956.21 0.02
2187 0.09 1566.46 0.02
2187 0.14 1609.96 0.02
2188 0.04 1967.85 0.02
2190 0.2 1585.24 0.03
2192 0.1 2149.23 0.03
2193 0.14 2022.975 0.02
2193 0.2 1800.53 0.03
2195 0.17 1724.645 0.01
2200 0.06 1784.125 0.03
2200 0.15 1700.06 0.03
2200 0.1 1563.73 0.03
2201 0.14 1690.045 0.03
2206 0.02 1805.23 0.01
2206 0.1 1532.8 0.03
2209 0.06 1636.385 0.02
2210 0.05 1582.9 0.03
2212 0.14 1798.62 0.05
2215 0.15 1945.47 0.02
2216 0.17 1125.87 0.04
2221 0.09 1953.265 0.02
2221 0.12 1612.73 0.03
2224 0.1 1774.46 0.02
2225 0.03 1254.37 0.03
2228 0.05 1819.19 0.02
2228 0.14 1375.58 0.03
2228 0.18 1520.19 0.04
2230 0.18 1733.705 0.01
